Date,Open,High,Low,Close,Volume,Average,Barcount
2016-07-22,127.02,127.5,125.31,126.35,32277943.0,126.508,134500
2016-07-29,125.53,129.41,125.11,128.98,46006470.0,127.113,184257
2016-08-05,128.57,130.55,127.39,127.55,33838052.0,129.014,138838
2016-08-12,127.29,129.26,127.2,127.4,34401452.0,128.14,138024
2016-08-19,127.62,129.17,127.46,127.97,33358033.0,128.453,138881
2016-08-26,127.63,128.22,125.82,126.05,41968917.0,126.969,175676
2016-09-02,126.0,126.57,124.55,126.57,41038167.0,125.446,164829
2016-09-09,127.4,129.08,126.7,126.75,35167710.0,127.826,143095
2016-09-16,126.31,126.92,124.67,125.06,39404547.0,125.807,171604
2016-09-23,125.61,128.2,125.17,127.65,36026000.0,127.057,148867
2016-09-30,127.96,128.04,125.23,125.64,27825982.0,126.331,118718
2016-10-07,125.32,125.46,118.42,119.74,63378089.0,121.107,248835
2016-10-14,120.16,120.42,119.28,119.36,23106780.0,119.836,111048
2016-10-21,119.7,121.59,119.58,120.83,21306321.0,120.701,85123
2016-10-28,121.28,122.48,120.16,121.58,24703502.0,121.243,112763
2016-11-04,121.51,124.76,121.23,124.39,41530973.0,123.547,169357
2016-11-11,122.65,124.35,116.23,117.1,66674116.0,120.442,297155
2016-11-18,116.12,117.27,114.96,115.15,45908037.0,116.169,195637
2016-11-25,115.74,115.94,112.35,112.61,31707197.0,113.909,128592
2016-12-02,113.23,113.84,110.63,112.14,30866072.0,112.201,146668
2016-12-09,111.16,112.5,110.19,110.4,30718691.0,111.24,137922
2016-12-16,110.59,111.11,107.0,108.05,42983494.0,109.03,198840
2016-12-23,108.6,108.88,107.29,107.93,19194625.0,107.971,91211
2016-12-30,108.61,110.62,108.24,109.61,20880517.0,109.473,101825
2017-01-06,109.62,112.94,109.37,111.75,23077316.0,111.473,112782
2017-01-13,112.39,114.93,112.17,114.21,32031586.0,113.527,150929
2017-01-20,115.89,115.96,113.93,115.05,25589193.0,115.153,119747
2017-01-27,115.51,116.17,112.81,113.49,24567536.0,114.353,119232
2017-02-03,113.61,116.57,113.53,116.13,32823420.0,115.316,152022
2017-02-10,117.07,118.59,116.67,117.6,37939790.0,117.628,162357
2017-02-17,116.73,118.4,116.15,117.68,28936974.0,117.297,127624
2017-02-24,117.04,119.88,116.77,119.7,23798712.0,118.644,112765
2017-03-03,119.73,120.4,116.44,117.51,39569549.0,118.377,179590
2017-03-10,117.35,117.35,114.13,114.72,24927688.0,115.321,115826
2017-03-17,114.63,117.29,114.02,116.99,30861290.0,115.684,141436
2017-03-24,117.31,119.25,117.2,118.86,28104687.0,118.52,134766
2017-03-31,119.93,120.08,118.32,118.72,26652631.0,119.14,126991
2017-04-07,118.69,120.67,118.4,119.46,29908615.0,119.466,136729
2017-04-13,119.02,122.65,118.85,122.6,30626562.0,121.302,151671
2017-04-21,122.55,123.07,110.03,122.31,43653465.0,122.219,204997
2017-04-28,120.77,121.51,119.87,120.77,37754171.0,120.603,185395
2017-05-05,120.21,120.75,116.63,117.01,36244095.0,118.288,168238
2017-05-12,117.03,117.16,115.56,116.83,20860046.0,116.444,106306
2017-05-19,117.52,120.02,116.99,119.4,33006360.0,119.004,156308
2017-05-26,119.63,120.79,118.91,120.54,24003507.0,119.755,115678
2017-06-02,120.24,121.71,119.95,121.61,22196273.0,120.755,97973
2017-06-09,121.91,123.31,120.4,120.54,30235465.0,121.997,134897
2017-06-16,120.33,121.88,119.12,119.34,33072785.0,120.306,133679
2017-06-23,118.74,119.66,118.07,119.43,23996106.0,118.831,98901
2017-06-30,118.29,119.06,117.91,118.02,24865963.0,118.43,113408
2017-07-07,116.54,116.85,114.8,115.28,28921400.0,115.994,116282
2017-07-14,115.02,117.25,114.83,116.77,19388809.0,115.908,92426
2017-07-21,117.42,119.39,117.23,119.26,25255127.0,118.343,108909
2017-07-28,119.52,120.86,118.55,120.69,25583946.0,119.682,117236
2017-08-04,120.5,121.14,119.22,119.65,22931993.0,120.409,103934
2017-08-11,119.44,122.83,118.97,122.79,29411874.0,121.244,137572
2017-08-18,121.98,123.54,120.58,122.3,33317329.0,122.006,140409
2017-08-25,122.54,123.02,121.29,122.74,25815746.0,122.42,110914
2017-09-01,123.33,126.17,123.33,126.06,39761946.0,125.011,162964
2017-09-08,126.65,128.32,126.55,127.97,28998876.0,127.489,127515
2017-09-15,126.74,126.94,125.41,125.53,26628638.0,126.047,118427
2017-09-22,124.71,125.06,122.49,123.24,32347494.0,123.726,136216
2017-09-29,122.78,124.66,121.55,121.58,32811293.0,122.845,146771
2017-10-06,121.17,121.34,119.78,121.09,29335997.0,120.89,126593
2017-10-13,121.64,123.86,121.55,123.82,22307569.0,122.719,99860
2017-10-20,123.82,123.97,121.39,121.61,25510480.0,122.306,122191
2017-10-27,120.98,121.9,120.21,120.9,22093297.0,121.025,105892
2017-11-03,120.93,121.96,120.18,120.62,19489676.0,121.023,93135
2017-11-10,120.72,122.41,120.68,121.13,24494987.0,121.603,113267
2017-11-17,121.43,123.17,120.77,122.86,24261928.0,121.903,116330
2017-11-24,122.3,122.95,121.04,122.32,15343872.0,121.941,73305
2017-12-01,123.26,123.33,120.64,121.59,32400139.0,121.956,158048
2017-12-08,121.15,121.2,118.1,118.48,30244282.0,119.593,142532
2017-12-15,118.37,119.5,117.4,119.18,28344838.0,118.593,127018
2017-12-22,119.63,121.14,119.53,120.94,20043661.0,120.18,88538
2017-12-29,121.55,124.09,121.51,123.65,20750255.0,122.623,93730
2018-01-05,124.66,125.85,124.1,125.33,25578879.0,125.013,120492
2018-01-12,125.2,127.13,124.23,126.96,30435684.0,125.399,125378
2018-01-19,126.6,127.22,125.8,126.42,25972754.0,126.522,117990
2018-01-26,126.51,129.52,126.28,128.07,37331155.0,128.038,172975
2018-02-02,127.58,128.15,125.95,126.39,42577601.0,127.067,192408
2018-02-09,126.82,127.31,124.39,124.77,45617481.0,125.647,220490
2018-02-16,125.19,128.7,125.11,127.96,34702758.0,127.411,167546
2018-02-23,127.29,127.4,125.44,126.14,20434503.0,126.206,99029
2018-03-02,126.45,126.62,123.57,125.39,27815109.0,125.023,129250
2018-03-09,125.35,126.96,124.78,125.54,19997693.0,125.792,100093
2018-03-16,125.04,125.99,124.21,124.6,16572710.0,125.12,76995
2018-03-23,124.57,128.06,123.96,127.61,30672440.0,126.203,139556
2018-03-29,128.05,128.58,125.31,125.79,20242500.0,126.806,92085
2018-04-06,126.65,127.54,125.42,126.39,26114688.0,126.573,115278
2018-04-13,126.45,129.47,126.23,127.45,29421864.0,127.56,139325
2018-04-20,127.74,128.54,126.55,126.63,23355964.0,127.464,107674
2018-04-27,125.62,126.34,124.69,125.5,21613012.0,125.41,100681
2018-05-03,124.1,124.65,124.0,124.54,4987057.0,124.448,17662
2018-05-11,124.5,125.59,123.79,125.0,17952229.0,124.713,90761
2018-05-18,125.16,125.21,122.01,122.41,23934958.0,122.709,105938
2018-05-25,122.16,123.82,121.97,123.21,21787020.0,122.966,100260
2018-06-01,122.84,123.78,122.44,122.49,22518576.0,123.146,95555
2018-06-08,122.85,123.35,122.28,123.01,17082425.0,122.863,83329
2018-06-15,123.1,123.86,120.83,121.34,29932657.0,122.46,144363
2018-06-22,121.35,121.44,119.82,120.34,16092683.0,120.522,84393
2018-06-29,120.0,120.23,118.01,118.65,25462837.0,118.941,120464
2018-07-06,118.18,119.33,117.4,118.86,21867017.0,118.407,105299
2018-07-13,119.65,119.73,117.44,117.61,19097228.0,118.318,96418
2018-07-20,117.51,117.63,115.12,116.56,32028064.0,116.249,144121
2018-07-27,116.25,116.84,115.76,115.83,21743155.0,116.169,109193
2018-08-03,115.8,116.35,114.42,114.92,25359606.0,115.351,111867
2018-08-10,114.56,115.23,114.31,114.69,21632914.0,114.741,95864
2018-08-17,113.81,113.81,111.06,112.13,36012064.0,112.203,167439
2018-08-24,112.38,114.42,112.06,114.16,25396386.0,113.091,120623
2018-08-31,114.12,114.87,113.24,113.51,20838387.0,113.973,104133
2018-09-07,112.75,114.26,112.61,113.23,16320158.0,113.228,82815
2018-09-14,113.26,114.78,112.42,113.02,19794219.0,113.552,102835
2018-09-21,113.6,114.37,112.79,113.49,21138019.0,113.684,106393
2018-09-28,113.68,113.96,111.84,112.76,24324710.0,112.932,119328
2018-10-05,112.4,114.33,112.15,113.8,29565872.0,113.616,146530
2018-10-12,112.25,116.04,111.9,115.23,58699517.0,114.084,240356
2018-10-19,116.12,116.6,115.63,116.01,36869146.0,116.091,148257
2018-10-26,115.57,117.65,115.43,116.77,43137713.0,116.561,184304
2018-11-02,116.41,117.07,114.66,116.65,38068579.0,116.022,164418
2018-11-09,116.28,116.67,114.14,114.48,33445113.0,115.572,138888
2018-11-16,114.01,115.88,113.42,115.62,39304879.0,114.471,181252
2018-11-23,115.45,116.35,115.37,115.77,23334065.0,115.759,99367
2018-11-30,115.84,116.24,114.59,115.54,32538091.0,115.384,149390
2018-12-07,116.6,118.23,116.29,118.09,29236697.0,117.282,127780
2018-12-14,117.7,117.95,116.58,117.06,25063873.0,117.508,112674
2018-12-21,117.37,119.74,117.35,118.72,52769498.0,118.553,229266
2018-12-28,119.57,121.08,119.57,121.06,36269666.0,120.401,153701
2019-01-04,120.98,122.46,120.69,121.44,36760871.0,121.471,146370
2019-01-11,122.16,122.34,121.06,121.8,29201719.0,121.805,117826
2019-01-18,122.15,122.44,121.02,121.02,32433402.0,121.87,120799
2019-01-25,121.18,122.91,120.86,122.86,25251963.0,121.737,100266
2019-02-01,122.75,125.23,122.71,124.5,42237055.0,124.194,165495
2019-02-08,123.99,124.42,123.4,124.21,23134597.0,124.004,96981
2019-02-15,123.19,125.0,123.19,124.8,26955790.0,124.062,113937
2019-02-22,125.98,127.21,125.05,125.5,31146238.0,126.188,123250
2019-03-01,125.78,125.9,121.87,121.88,33095181.0,124.052,137851
2019-03-08,121.56,122.89,121.03,122.84,30579593.0,121.794,123210
2019-03-15,122.52,123.88,121.92,122.97,27077206.0,122.815,112549
2019-03-22,123.3,124.42,122.65,123.97,28874294.0,123.666,130058
2019-03-29,124.56,125.11,121.7,122.01,30395082.0,123.33,131780
2019-04-05,122.4,122.43,120.96,121.98,25641290.0,121.812,111099
2019-04-12,122.97,123.77,121.79,121.83,23495963.0,122.585,97849
2019-04-18,121.2,121.82,120.15,120.37,18602559.0,120.599,73970
2019-04-26,120.46,121.67,119.55,121.37,18063916.0,120.648,75641
2019-05-03,120.88,121.55,119.54,120.65,28479853.0,120.696,121096
2019-05-10,120.61,121.73,120.54,121.43,17784297.0,121.203,77640
2019-05-17,122.63,122.85,120.33,120.65,31926772.0,121.977,123284
2019-05-24,120.51,121.52,119.83,121.3,15774036.0,120.748,64551
2019-05-31,120.8,123.4,120.46,123.33,23760813.0,122.063,96746
2019-06-07,124.09,127.25,123.9,126.59,35603515.0,125.509,147669
2019-06-14,125.46,127.63,124.88,126.56,24369807.0,126.137,103117
2019-06-21,126.7,132.17,126.17,131.98,48485066.0,129.334,206516
2019-06-28,132.77,135.55,132.26,133.2,53950399.0,133.624,261002
2019-07-05,131.56,134.1,130.55,132.14,35707114.0,132.019,169668
2019-07-12,132.18,133.87,131.15,133.53,32734376.0,132.735,151321
2019-07-19,133.18,136.63,132.13,134.47,47235433.0,134.446,214712
2019-07-26,134.56,134.95,133.09,133.64,33620023.0,134.092,153413
2019-08-02,134.06,136.6,132.3,135.89,65396026.0,134.726,303445
2019-08-09,137.93,142.47,137.05,141.26,64529626.0,140.469,296534
2019-08-16,141.67,144.02,139.35,142.78,71802004.0,142.373,328595
2019-08-23,141.33,144.33,140.85,144.17,45602442.0,142.35,188424
2019-08-30,144.35,145.68,143.02,143.75,47143272.0,144.582,204369
